Day Week Ends On,Sort County x Week,County,Count Confirmed Cases Suppressed if 1-4,Count Probable Cases Suppressed if 1-4,Count Hospitalized Cases Suppressed if 1-4,Count Deceased Cases Suppressed if 1-4
8/22/2020 12:00:00 AM,200,Allendale,20,<5,<5,
8/29/2020 12:00:00 AM,201,Allendale,18,<5,<5,
9/5/2020 12:00:00 AM,202,Allendale,20,<5,<5,
9/12/2020 12:00:00 AM,203,Allendale,13,<5,<5,
9/19/2020 12:00:00 AM,204,Allendale,33,<5,<5,
9/26/2020 12:00:00 AM,205,Allendale,26,<5,<5,
10/3/2020 12:00:00 AM,206,Allendale,19,<5,<5,
10/10/2020 12:00:00 AM,207,Allendale,13,<5,<5,
10/17/2020 12:00:00 AM,208,Allendale,9,<5,<5,
10/24/2020 12:00:00 AM,209,Allendale,<5,<5,<5,<5
11/7/2020 12:00:00 AM,210,Allendale,13,<5,<5,<5
11/14/2020 12:00:00 AM,211,Allendale,<5,<5,<5,
11/21/2020 12:00:00 AM,212,Allendale,5,<5,<5,
11/28/2020 12:00:00 AM,213,Allendale,<5,<5,<5,
12/5/2020 12:00:00 AM,214,Allendale,8,<5,<5,
12/12/2020 12:00:00 AM,215,Allendale,12,<5,<5,
12/19/2020 12:00:00 AM,216,Allendale,14,<5,<5,
12/26/2020 12:00:00 AM,217,Allendale,14,5,<5,<5
1/2/2021 12:00:00 AM,218,Allendale,22,5,<5,
1/9/2021 12:00:00 AM,219,Allendale,37,5,<5,<5
1/16/2021 12:00:00 AM,220,Allendale,51,<5,<5,
1/23/2021 12:00:00 AM,221,Allendale,32,<5,<5,<5
1/30/2021 12:00:00 AM,222,Allendale,31,<5,<5,<5
2/6/2021 12:00:00 AM,223,Allendale,42,<5,<5,<5
2/13/2021 12:00:00 AM,224,Allendale,36,<5,<5,<5
2/20/2021 12:00:00 AM,225,Allendale,39,7,<5,
2/27/2021 12:00:00 AM,226,Allendale,20,16,<5,
3/6/2021 12:00:00 AM,227,Allendale,11,<5,<5,
3/13/2021 12:00:00 AM,228,Allendale,<5,<5,<5,
3/20/2021 12:00:00 AM,229,Allendale,<5,<5,<5,
3/27/2021 12:00:00 AM,230,Allendale,<5,<5,<5,
4/3/2021 12:00:00 AM,231,Allendale,<5,<5,<5,
4/10/2021 12:00:00 AM,232,Allendale,<5,<5,<5,
4/17/2021 12:00:00 AM,233,Allendale,<5,<5,<5,
4/24/2021 12:00:00 AM,234,Allendale,6,<5,<5,
5/1/2021 12:00:00 AM,235,Allendale,<5,<5,<5,
5/8/2021 12:00:00 AM,236,Allendale,9,<5,<5,
5/15/2021 12:00:00 AM,237,Allendale,5,<5,<5,
5/22/2021 12:00:00 AM,238,Allendale,<5,5,<5,
5/29/2021 12:00:00 AM,239,Allendale,<5,<5,<5,
6/5/2021 12:00:00 AM,240,Allendale,<5,<5,<5,
